query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
query_1,TRUE,2.143316085236024e-5,224,2183,49,0.02244617498854787,0.21875,GO:1903046,GO:BP,meiotic cell cycle process,21026,22407,
query_1,TRUE,2.143316085236024e-5,166,5562,74,0.013304566702624955,0.4457831325301205,GO:0006606,GO:BP,protein import into nucleus,21026,2315,
query_1,TRUE,2.606689928038057e-5,51,5006,29,0.005793048341989612,0.5686274509803921,GO:0031297,GO:BP,replication fork processing,21026,7080,
query_1,TRUE,2.7635666794428455e-5,118,2355,33,0.014012738853503185,0.2796610169491525,GO:1902749,GO:BP,regulation of cell cycle G2/M phase transition,21026,22170,
query_1,TRUE,2.7858844839266613e-5,2770,4123,641,0.15546931845743392,0.23140794223826716,GO:0008104,GO:BP,protein localization,21026,3109,
query_1,TRUE,2.7892537572450733e-5,83,3145,31,0.00985691573926868,0.37349397590361444,GO:0043242,GO:BP,negative regulation of protein-containing complex disassembly,21026,10484,
query_1,TRUE,2.7933961530624553e-5,63,4109,30,0.007301046483329277,0.47619047619047616,GO:0007080,GO:BP,mitotic metaphase chromosome alignment,21026,2656,
query_1,TRUE,3.419611171196368e-5,8,2024,7,0.003458498023715415,0.875,GO:1905821,GO:BP,positive regulation of chromosome condensation,21026,24503,
query_1,TRUE,3.5562862979842246e-5,89,3959,37,0.009345794392523364,0.4157303370786517,GO:1902117,GO:BP,positive regulation of organelle assembly,21026,21742,
query_1,TRUE,4.2244953966825515e-5,1135,2436,185,0.07594417077175698,0.16299559471365638,GO:0009790,GO:BP,embryo development,21026,3662,
query_1,TRUE,4.242736707719892e-5,37,4145,21,0.005066344993968637,0.5675675675675675,GO:0006270,GO:BP,DNA replication initiation,21026,2078,
query_1,TRUE,4.311081923360111e-5,42,3529,21,0.005950694247662227,0.5,GO:0036297,GO:BP,interstrand cross-link repair,21026,9461,
