logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl_id	ensembl_clean
2.3033723833579254	5.338368514441734	9.701773256121514	9.745757042016395e-19	7.64486773786001e-18	31.447424333414784	ENSG00000204956.5	ENSG00000204956
1.4963200249841886	3.134599759247142	9.70163850716614	9.754760651272014e-19	7.650941053868122e-18	31.44650834700754	ENSG00000244349.1	ENSG00000244349
1.1702129007971511	1.5463959949089037	9.69957949892758	9.893371973092372e-19	7.758654736752208e-18	31.432512402385623	ENSG00000254719.1	ENSG00000254719
1.0094283556925945	7.663703148840541	9.699088403879648	9.926720431558497e-19	7.783801207062287e-18	31.429174397082985	ENSG00000166262.16	ENSG00000166262
1.598121140494415	4.222360227013456	9.698970602931244	9.934736467389243e-19	7.789079929065939e-18	31.428373706277736	ENSG00000243431.1	ENSG00000243431
1.5612235401252694	1.417529129528791	9.698918393145778	9.938291260142732e-19	7.7908600134435e-18	31.428018838594188	ENSG00000250910.8	ENSG00000250910
1.4926257208660774	6.957684438407333	9.698103091963382	9.99396679987119e-19	7.833493036312007e-18	31.42247736967558	ENSG00000196345.13	ENSG00000196345
1.4284010725419662	7.154967763250121	9.696944722176562	1.0073603636405503e-18	7.8948940127178e-18	31.41460443771035	ENSG00000213866.3	ENSG00000213866
1.7362610451446463	2.855735812659577	9.696527462196622	1.0102444179787957e-18	7.916474149928141e-18	31.411768595950708	ENSG00000286563.1	ENSG00000286563
1.174822745537748	4.56330075899508	9.696490751946714	1.0104985477045522e-18	7.917442767212367e-18	31.411519102837307	ENSG00000132781.19	ENSG00000132781
1.119174713258752	11.58539867643541	9.696000235235452	1.0139002951041759e-18	7.94307011507417e-18	31.408185450252144	ENSG00000059588.10	ENSG00000059588
1.6198462742538464	2.4153010539526583	9.695005406401531	1.0208344648730804e-18	7.995554674048746e-18	31.401424594412457	ENSG00000238141.2	ENSG00000238141
1.3281259163129886	3.709803270371452	9.695001276060756	1.0208633522998272e-18	7.995554674048746e-18	31.401396525195025	ENSG00000273369.1	ENSG00000273369
1.6258604896339042	2.536948669571286	9.69410936917703	1.0271203871444183e-18	8.043522164237077e-18	31.395335362267435	ENSG00000075290.8	ENSG00000075290
2.5117878039826844	8.56855247070316	9.693625133384124	1.0305334243651516e-18	8.069208406091402e-18	31.392044716931174	ENSG00000110436.13	ENSG00000110436
1.502026109255466	10.902001511636891	9.692718901258752	1.036951144261049e-18	8.117364358094623e-18	31.38588655281419	ENSG00000182985.18	ENSG00000182985
1.6508143501729855	9.316776071096616	9.69225218434061	1.0402718091706499e-18	8.141257636987696e-18	31.382715137500583	ENSG00000180667.10	ENSG00000180667
1.757072471438348	1.9733525888049772	9.690343297746098	1.053963846626129e-18	8.247348675998578e-18	31.369744583278237	ENSG00000286375.1	ENSG00000286375
1.1809181101170103	8.119730201481882	9.689142004090716	1.0626721806694169e-18	8.3144195123702865e-18	31.361582521779685	ENSG00000148459.16	ENSG00000148459
1.9241129728314	4.687180593549201	9.688772788000302	1.0653630215028972e-18	8.33439784425661e-18	31.359074003368377	ENSG00000215374.6	ENSG00000215374
1.1948518348623485	5.4519741348607695	9.687987541546764	1.0711084315516098e-18	8.378264017784737e-18	31.35373902872993	ENSG00000260643.2	ENSG00000260643
1.2637303615742836	1.2011630372774276	9.687152661408549	1.0772507887358455e-18	8.424137275327625e-18	31.34806703097941	ENSG00000287456.1	ENSG00000287456
1.5990474836921449	1.6528124810137796	9.685567986596034	1.0890060007991643e-18	8.5149657139053e-18	31.33730162330256	ENSG00000233719.4	ENSG00000233719
1.5923174373561046	7.007645419444936	9.684799826660145	1.0947500664208838e-18	8.55877549028107e-18	31.33208342028762	ENSG00000128594.8	ENSG00000128594
1.061621393684077	0.9073258386596342	9.683823142880703	1.102096929239823e-18	8.615103057691709e-18	31.32544892774619	ENSG00000239443.1	ENSG00000239443
1.6400431330872205	1.633170603021881	9.683471198542213	1.1047563416030459e-18	8.634778982301349e-18	31.323058278567647	ENSG00000249839.1	ENSG00000249839
1.2434916837478358	4.32594859815103	9.683265416891905	1.106314253467693e-18	8.64584161496396e-18	31.32166048342025	ENSG00000267397.1	ENSG00000267397
1.2786594935093858	2.1965296150149016	9.682785189257643	1.109958416568732e-18	8.673203342658676e-18	31.318398528911768	ENSG00000233111.1	ENSG00000233111
1.7360066310568854	1.9434075177402363	9.68261221627042	1.1112739276756283e-18	8.682364303555333e-18	31.3172236226978	ENSG00000229029.2	ENSG00000229029
1.8765566005170335	7.515618944439127	9.681621528073196	1.1188383266944103e-18	8.740339072412483e-18	31.3104946075974	ENSG00000124613.8	ENSG00000124613
1.4390772939568446	2.5504771548540384	9.680889094620856	1.124463717679631e-18	8.783153375540355e-18	31.305519903188543	ENSG00000268034.1	ENSG00000268034
1.82030290097674	6.387076707113286	9.680305876637378	1.1289631765806631e-18	8.817163163561612e-18	31.301558780893156	ENSG00000014257.16	ENSG00000014257
1.8391472938381097	7.971323907932712	9.679991754334644	1.1313940061683234e-18	8.835010351978693e-18	31.299425352401254	ENSG00000106772.18	ENSG00000106772
